iter	Logloss
0	0.6708178132
1	0.6493721365
2	0.6316907163
3	0.6143350707
4	0.5989348814
5	0.5846245116
6	0.5724549958
7	0.5615657679
8	0.5510810569
9	0.5421439003
10	0.5339340153
11	0.5283410704
12	0.5216886457
13	0.5165841676
14	0.5117223549
15	0.5078310852
16	0.5038101819
17	0.5004100531
18	0.4971339718
19	0.494186001
20	0.4914481001
21	0.4886072407
22	0.4864818961
23	0.4842981234
24	0.4823895728
25	0.4806495708
26	0.4789655054
27	0.4774018186
28	0.475846089
29	0.4742502031
30	0.473076234
31	0.471872019
32	0.4706467708
33	0.4692407173
34	0.4679898406
35	0.4670728845
36	0.4660685536
37	0.4650936193
38	0.4643065521
39	0.463588015
40	0.4627749421
41	0.4621300896
42	0.4615746292
43	0.4608343789
44	0.4601800166
45	0.459113447
46	0.4582616359
47	0.4574228403
48	0.4567993672
49	0.4560648915
50	0.4555402028
51	0.4548951507
52	0.4542554552
53	0.4537276482
54	0.4533516727
55	0.4528183927
56	0.4523753239
57	0.4519136631
58	0.4514697684
59	0.4511180608
60	0.4507615181
61	0.4503554294
62	0.4499339908
63	0.4496133236
64	0.4487361114
65	0.4483119265
66	0.4479960878
67	0.4477440088
68	0.4473531077
69	0.4470316428
70	0.4467744882
71	0.4464319887
72	0.4461258858
73	0.4457854103
74	0.4455587868
75	0.4452435387
76	0.4450432161
77	0.4448585216
78	0.4446997526
79	0.4444261761
80	0.44418634
81	0.443861386
82	0.4433939358
83	0.4429742701
84	0.4424292329
85	0.4422458014
86	0.4419638232
87	0.4417448042
88	0.441473316
89	0.4413434912
90	0.4411709401
91	0.4409350195
92	0.4406139292
93	0.4403624537
94	0.4401575555
95	0.4400440238
96	0.4398688941
97	0.4396834607
98	0.4394917992
99	0.4391822499
100	0.4387944466
101	0.4385640599
102	0.438346235
103	0.4382393565
104	0.4380643543
105	0.4376324254
106	0.4374398849
107	0.4372518259
108	0.4370614665
109	0.4368684461
110	0.4364571744
111	0.4363044538
112	0.4360640498
113	0.4357720293
114	0.435575482
115	0.4353751746
116	0.4352036248
117	0.4349627075
118	0.4348315577
119	0.4347052366
120	0.4341400525
121	0.4338463121
122	0.4335876782
123	0.4333164307
124	0.4327838897
125	0.4325703006
126	0.4323748156
127	0.432162904
128	0.4313841793
129	0.4312204656
130	0.4310636951
131	0.4306991598
132	0.4304618088
133	0.4295206787
134	0.4292581877
135	0.4290410274
136	0.4287011263
137	0.4282563894
138	0.4280602804
139	0.4279646616
140	0.4278170633
141	0.427748324
142	0.4275678566
143	0.4271738932
144	0.4270159038
145	0.4268516637
146	0.4266890219
147	0.4264740655
148	0.426297297
149	0.4257209643
150	0.4255522448
151	0.4253501116
152	0.4250637586
153	0.4243485337
154	0.4241140783
155	0.4238992336
156	0.4236422747
157	0.4232432617
158	0.4224054004
159	0.4222140203
160	0.4220931284
161	0.4218736123
162	0.4217527712
163	0.421694139
164	0.4215290032
165	0.4212769384
166	0.4211573522
167	0.4209558159
168	0.4207839198
169	0.4205741775
170	0.4203846139
171	0.4198245114
172	0.4197040819
173	0.4192949938
174	0.4192292034
175	0.4186930049
176	0.4185202152
177	0.4183120317
178	0.4181708205
179	0.4180718802
180	0.4177026522
181	0.4175033011
182	0.4171274279
183	0.4167371402
184	0.4165343771
185	0.4163505212
186	0.4162449444
187	0.4153231284
188	0.4151790583
189	0.4143438661
190	0.4142311648
191	0.4141212206
192	0.4139111617
193	0.4137767851
194	0.4135827942
195	0.4133870723
196	0.4125243805
197	0.4123844909
198	0.4122063557
199	0.4115954856
200	0.4114422361
201	0.4110296012
202	0.4108255611
203	0.4106544323
204	0.4103078903
205	0.4101294509
206	0.4100542505
207	0.40988804
208	0.4096984832
209	0.4089851819
210	0.4086414517
211	0.4085380678
212	0.4084359939
213	0.4075263345
214	0.4068025922
215	0.406404778
216	0.4062613312
217	0.4058312877
218	0.4055456636
219	0.4054035879
220	0.4049772681
221	0.4047496595
222	0.404588099
223	0.4042409529
224	0.4041083549
225	0.4039626414
226	0.4038756584
227	0.403570427
228	0.4031042565
229	0.4029234157
230	0.4027120888
231	0.4022392579
232	0.4021130238
233	0.4020177129
234	0.401907357
235	0.4017301003
236	0.4009523108
237	0.400408313
238	0.400165616
239	0.3999021649
240	0.3992675081
241	0.3990109082
242	0.3986110934
243	0.3983847184
244	0.3982602809
245	0.3980860302
246	0.3979522507
247	0.3977832789
248	0.3977108931
249	0.3975359907
250	0.3973244354
251	0.3971331769
252	0.3969647219
253	0.3968388094
254	0.3964985143
255	0.3963304712
256	0.3957761454
257	0.3955536682
258	0.3949282564
259	0.3947805849
260	0.3946320644
261	0.3943826456
262	0.3940426018
263	0.393940146
264	0.3936323079
265	0.3934424046
266	0.3932934707
267	0.3929162624
268	0.3926571249
